adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
Y7 נחלת יהודה - ראשון לציון,16.9.2013,117,15598,5.0,3,2013,16,9,2013,1824966.0
נחמוני 61,16.9.2013,220,14290,5.0,0,2012,16,9,2013,3143800.0
Y7 נחלת יהודה - ראשון לציון,12.9.2013,113,15929,5.0,3,2013,12,9,2013,1799977.0
Y7 נחלת יהודה - ראשון לציון,9.9.2013,117,16000,5.0,5,2013,9,9,2013,1872000.0
חובב מאיר וצבי 9,9.9.2013,284,14084,6.0,0,2012,9,9,2013,3999856.0
אשר אורנבך 5 ראשון לציון,3.9.2013,110,19090,5.0,0,2015,3,9,2013,2099900.0
Y7 נחלת יהודה - ראשון לציון,2.9.2013,117,18119,5.0,7,2014,2,9,2013,2119923.0
Y7 נחלת יהודה - ראשון לציון,2.9.2013,125,14480,4.0,4,2014,2,9,2013,1810000.0
ליבין יוסף וריסיה 16,25.8.2013,240,14333,6.0,0,2012,25,8,2013,3439920.0
נחמוני 63,22.8.2013,254,12795,6.0,0,2013,22,8,2013,3249930.0
פרויקט Y ראשון לציון,21.8.2013,79,17974,3.0,8,2015,21,8,2013,1419946.0
פרויקט Y ראשון לציון,21.8.2013,70,20571,3.0,9,2015,21,8,2013,1439970.0
אשר אורנבך 5 ראשון לציון,20.8.2013,118,15805,5.0,6,2013,20,8,2013,1864990.0
נחמוני 65,20.8.2013,254,12106,6.0,0,2012,20,8,2013,3074924.0
העינב 15,20.8.2013,150,23333,5.0,0,1800,20,8,2013,3499950.0
אשר אורנבך 5 ראשון לציון,19.8.2013,113,16548,5.0,6,2013,19,8,2013,1869924.0
אשר אורנבך 5 ראשון לציון,18.8.2013,100,15800,4.0,2,2013,18,8,2013,1580000.0
פרשקובסקי בנחלת החדשה,14.8.2013,80,25694,4.0,7,2009,14,8,2013,2055520.0
אוזן אהרון 3,12.8.2013,260,11730,6.0,0,2011,12,8,2013,3049800.0
אשר אורנבך 5 ראשון לציון,8.8.2013,110,16727,5.0,3,2015,8,8,2013,1839970.0
העצמאות 18,8.8.2013,280,11071,5.0,0,1888,8,8,2013,3099880.0
בראשית - נחלת יהודה ראשון לציון,7.8.2013,125,16280,5.0,5,2011,7,8,2013,2035000.0
Y7 נחלת יהודה - ראשון לציון,6.8.2013,117,15572,5.0,3,2015,6,8,2013,1821924.0
ליבין יוסף וריסיה 20,4.8.2013,257,13229,6.0,0,2013,4,8,2013,3399853.0
Y7 נחלת יהודה - ראשון לציון,1.8.2013,117,16178,5.0,5,2013,1,8,2013,1892826.0
עמיחי בנחלה,29.7.2013,126,14444,5.0,2,2013,29,7,2013,1819944.0
Y7 נחלת יהודה - ראשון לציון,28.7.2013,117,15982,5.0,6,2013,28,7,2013,1869894.0
אשר אורנבך 5 ראשון לציון,28.7.2013,111,17117,5.0,7,2013,28,7,2013,1899987.0
Y7 נחלת יהודה - ראשון לציון,25.7.2013,117,18589,5.0,0,2013,25,7,2013,2174913.0
פרשקובסקי בנחלת החדשה,23.7.2013,200,23750,6.0,9,2012,23,7,2013,4750000.0
Y7 נחלת יהודה - ראשון לציון,22.7.2013,117,15876,5.0,5,2013,22,7,2013,1857492.0
Y7 נחלת יהודה - ראשון לציון,21.7.2013,117,15662,5.0,3,2013,21,7,2013,1832454.0
אשר אורנבך 5 ראשון לציון,18.7.2013,101,16039,4.0,3,2013,18,7,2013,1619939.0
Y7 נחלת יהודה - ראשון לציון,17.7.2013,111,16621,5.0,4,2013,17,7,2013,1844931.0
אשר אורנבך 5 ראשון לציון,17.7.2013,105,15666,4.0,5,2013,17,7,2013,1644930.0
בראשית - נחלת יהודה ראשון לציון,9.7.2013,111,26584,5.0,8,2011,9,7,2013,2950824.0
Y7 נחלת יהודה - ראשון לציון,7.7.2013,117,15598,5.0,5,2015,7,7,2013,1824966.0
Y7 נחלת יהודה - ראשון לציון,2.7.2013,111,18245,5.0,7,2013,2,7,2013,2025195.0
1 99,25.6.2013,80,17187,3.0,6,2013,25,6,2013,1374960.0
פרויקט Y ראשון לציון,25.6.2013,79,18860,3.0,12,2013,25,6,2013,1489940.0
Y7 נחלת יהודה - ראשון לציון,24.6.2013,98,16200,4.0,1,2013,24,6,2013,1587600.0
